2019-05-20 11:10:20.158 INFO  DefaultFactory Logging to 'C:\Users\karyn\OneDrive\Рабочий стол\RetailDemo\Billing\bin\Debug\' with level Info
2019-05-20 11:28:46.445 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.476 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.507 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.539 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.585 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.617 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.648 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.679 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.710 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.742 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.773 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.804 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
